Date,Price,Open,High,Low,Vol.,Change %
1999-08-01,264.75,264.00,286.75,259.00,160.06K,0.38%
1999-08-02,282.75,264.00,283.75,264.00,17.64K,6.80%
1999-08-03,272.00,282.00,286.75,271.00,14.02K,-3.80%
1999-08-04,276.50,271.25,276.75,269.00,4.98K,1.65%
1999-08-05,278.50,276.50,279.00,271.50,9.30K,0.72%
1999-08-06,279.25,278.00,281.50,275.00,7.06K,0.27%
1999-08-09,279.50,277.50,280.00,275.50,5.93K,0.09%
1999-08-10,279.25,280.00,283.00,279.00,7.08K,-0.09%
1999-08-11,272.75,279.25,279.25,272.00,7.91K,-2.33%
1999-08-12,263.50,272.75,272.75,260.00,11.08K,-3.39%
1999-08-13,268.25,263.00,268.75,263.00,5.20K,1.80%
1999-08-16,268.75,267.75,271.00,267.50,3.42K,0.19%
1999-08-17,269.00,269.75,274.75,268.50,4.47K,0.09%
1999-08-18,270.50,268.50,272.75,265.00,5.81K,0.56%
1999-08-19,272.25,270.50,274.00,269.00,4.43K,0.65%
1999-08-20,269.50,272.25,272.75,269.25,4.51K,-1.01%
1999-08-23,270.75,269.75,271.50,265.00,5.33K,0.46%
1999-08-24,267.25,271.50,273.00,266.00,6.32K,-1.29%
1999-08-25,268.75,266.75,269.00,262.75,4.56K,0.56%
1999-08-26,266.75,268.75,269.00,265.75,3.31K,-0.74%
1999-08-27,262.75,265.00,265.50,261.25,6.50K,-1.50%
1999-08-30,259.75,262.00,264.50,259.00,12.21K,-1.14%
1999-08-31,264.75,260.75,265.50,260.50,9.00K,1.92%
1999-09-01,266.75,264.50,266.75,264.50,5.74K,0.76%
1999-09-02,270.75,266.50,271.00,263.75,5.91K,1.50%
1999-09-03,272.75,270.50,273.50,270.50,4.53K,0.74%
1999-09-07,277.00,278.00,279.00,276.50,3.56K,1.56%
1999-09-08,269.00,274.50,275.00,269.00,3.75K,-2.89%
1999-09-09,270.00,269.50,271.75,269.50,2.77K,0.37%
1999-09-10,274.00,268.00,274.50,268.00,2.06K,1.48%
1999-09-13,274.25,274.00,275.50,272.00,2.00K,0.09%
1999-09-14,274.00,271.50,274.00,271.00,2.29K,-0.09%
1999-09-15,261.50,272.00,272.00,261.00,2.05K,-4.56%
1999-09-16,263.25,261.00,263.50,258.00,1.28K,0.67%
1999-09-17,262.50,263.50,264.00,259.75,0.24K,-0.28%
1999-09-20,259.00,261.00,262.00,259.00,0.34K,-1.33%
1999-09-21,258.00,259.00,260.00,255.00,0.03K,-0.39%
1999-09-22,258.00,0.00,0.00,0.00,0.03K,0.00%
1999-09-23,273.25,269.75,273.75,267.00,19.16K,5.91%
1999-09-24,277.75,273.25,278.50,273.00,19.26K,1.65%
1999-09-27,279.75,277.00,282.50,273.50,22.05K,0.72%
1999-09-28,285.75,279.75,286.50,278.75,25.22K,2.14%
1999-09-29,284.25,285.75,290.00,284.00,26.13K,-0.52%
1999-09-30,275.75,284.25,284.50,275.00,21.31K,-2.99%
1999-10-01,267.00,276.00,276.75,266.00,26.95K,-3.17%
1999-10-04,268.75,266.00,269.50,262.00,25.78K,0.66%
1999-10-05,264.50,269.00,269.50,264.00,10.06K,-1.58%
1999-10-06,264.25,264.50,265.50,259.00,25.44K,-0.09%
1999-10-07,258.75,264.50,264.50,258.50,15.25K,-2.08%
1999-10-08,254.75,259.75,261.00,253.50,26.26K,-1.55%
1999-10-11,253.50,254.00,255.00,250.50,11.73K,-0.49%
1999-10-12,257.50,254.00,259.50,254.00,15.61K,1.58%
1999-10-13,255.50,257.50,259.00,254.50,13.34K,-0.78%
1999-10-14,255.50,255.25,257.25,253.75,9.42K,0.00%
1999-10-15,256.50,255.00,258.50,253.25,14.58K,0.39%
1999-10-18,260.25,256.25,262.00,254.75,13.92K,1.46%
1999-10-19,263.00,260.50,264.00,260.25,14.35K,1.06%
1999-10-20,257.75,263.25,264.75,257.50,19.85K,-2.00%
1999-10-21,257.00,257.75,258.50,254.50,12.69K,-0.29%
1999-10-22,258.00,257.00,259.75,255.00,10.95K,0.39%
1999-10-25,262.00,257.50,262.50,257.50,12.91K,1.55%
1999-10-26,256.75,262.50,266.00,256.50,20.54K,-2.00%
1999-10-27,256.50,256.50,259.75,255.00,13.04K,-0.10%
1999-10-28,257.25,257.00,259.75,256.50,11.69K,0.29%
